id_original	respostas_preenchidas	media_individual
82	14	6
100	13	6
304	15	6
350	15	6
392	15	6
422	12	6
431	15	6
433	12	6
504	15	6
507	14	6
529	15	6
142	14	5.93
548	12	5.83
456	14	5.79
239	13	5.77
445	13	5.77
440	14	5.71
453	13	5.69
246	15	5.67
411	15	5.67
439	15	5.67
502	15	5.67
408	12	5.58
425	14	5.57
96	13	5.54
454	12	5.5
517	12	5.5
573	14	5.5
7	13	5.46
449	14	5.43
236	15	5.4
448	15	5.4
499	15	5.4
306	13	5.38
394	15	5.33
447	15	5.33
232	13	5.31
103	14	5.29
403	14	5.29
434	15	5.27
137	12	5.25
307	12	5.25
450	12	5.25
527	12	5.25
102	13	5.23
401	13	5.23
409	13	5.23
437	12	5.17
190	14	5.14
351	14	5.14
410	14	5.14
421	13	5.08
500	15	5.07
101	13	5
226	15	5
243	15	5
352	12	5
442	15	5
607	13	5
224	15	4.93
251	14	4.93
436	15	4.93
305	13	4.92
308	14	4.86
391	13	4.85
303	12	4.83
353	15	4.8
506	15	4.8
268	13	4.77
566	13	4.77
361	14	4.71
354	12	4.67
406	15	4.67
438	15	4.67
358	14	4.64
249	13	4.62
435	15	4.6
234	15	4.47
516	14	4.43
427	12	4.42
356	15	4.4
388	13	4.38
147	14	4.36
509	14	4.36
222	15	4.33
355	13	4.31
139	15	4.27
486	15	4.27
220	12	4.25
229	14	4.21
418	15	4.2
112	15	4.13
241	15	4.07
231	15	4
405	15	4
432	15	4
452	12	4
510	15	4
399	15	3.87
444	13	3.85
426	12	3.83
240	15	3.8
261	12	3.75
520	15	3.67
181	13	3.54
223	14	3.5
242	15	3.47
245	15	3.47
501	15	3.47
524	15	3.4
393	13	3.38
299	14	3.29
235	13	3.23
302	15	2.87
360	15	2.87
233	15	2.8
632	12	2.75
219	15	2.73
451	15	2.73
511	15	2.67
519	12	2.67
221	15	2.53
398	15	2.33
228	15	2.13
238	14	2
526	12	1.42
