id_original	respostas_preenchidas	media_individual
534	15	6
559	15	6
389	14	5.57
568	14	5.57
95	14	5.5
493	12	5.33
579	15	5.2
339	15	5.13
533	15	5.13
629	13	5.08
543	15	5
319	15	4.93
338	15	4.87
550	15	4.8
265	15	4.73
365	15	4.67
621	14	4.43
198	15	4.4
538	15	4.4
387	15	4.27
555	15	4.27
583	14	4.21
323	15	4.2
335	15	4.2
592	15	4.2
321	15	4.13
537	15	4.07
545	15	4.07
584	15	4.07
413	15	4
542	15	4
588	15	4
594	15	4
595	15	4
598	15	4
531	14	3.86
593	13	3.85
535	15	3.73
565	15	3.73
601	15	3.73
582	14	3.71
415	15	3.67
585	15	3.6
614	15	3.6
326	15	3.53
334	15	3.53
414	12	3.5
539	14	3.5
318	15	3.47
429	15	3.4
536	15	3.4
402	14	3.36
546	13	3.15
424	15	3.13
597	15	3.13
417	12	3.08
359	15	3.07
416	15	3
423	15	3
530	15	3
596	15	3
563	14	2.93
587	13	2.92
332	15	2.87
396	15	2.8
111	14	2.79
581	15	2.73
615	15	2.73
441	13	2.62
485	15	2.6
348	13	2.54
564	15	2.47
404	14	2.14
589	12	2.08
59	15	2
390	15	1.8
330	15	1.4
343	15	1
344	15	1
