id_original	respostas_preenchidas	media_individual
549	15	6
604	15	6
133	14	5.79
255	15	5.73
300	15	5.73
69	15	5.67
71	14	5.64
467	15	5.27
60	15	5.13
483	15	5
298	13	4.92
131	15	4.87
525	14	4.79
47	13	4.54
175	14	4.5
283	12	4.5
487	13	4.46
33	15	4.33
276	15	4.33
109	15	4.27
293	13	4.23
72	14	4.21
384	15	4.2
50	13	4.15
48	15	4.13
54	13	4.08
428	15	4.07
3	13	4
154	12	4
314	13	4
337	15	4
420	13	4
558	15	3.93
143	13	3.92
171	13	3.92
86	15	3.87
286	14	3.86
161	12	3.83
157	15	3.8
638	15	3.8
633	14	3.79
211	14	3.71
289	14	3.64
291	14	3.64
188	15	3.6
199	12	3.58
310	13	3.54
333	12	3.5
498	14	3.5
202	15	3.47
313	12	3.42
285	13	3.38
294	13	3.38
29	15	3.33
180	15	3.33
257	15	3.33
178	15	3.27
216	15	3.27
81	13	3.23
203	13	3.23
259	15	3.2
273	15	3.2
281	15	3.2
349	15	3.2
155	12	3.17
158	13	3.15
113	14	3.14
75	15	3.13
151	13	3.08
567	14	3.07
116	12	3
168	12	3
210	15	3
284	13	3
373	12	3
70	14	2.93
153	15	2.93
209	14	2.93
512	15	2.93
78	13	2.92
288	12	2.92
150	15	2.87
378	14	2.86
562	14	2.86
204	13	2.85
280	13	2.85
189	15	2.8
606	15	2.8
609	12	2.75
282	15	2.73
106	14	2.71
277	15	2.67
55	14	2.64
296	14	2.64
30	14	2.57
297	15	2.53
159	14	2.5
174	12	2.5
197	15	2.47
2	13	2.46
169	12	2.42
278	15	2.4
523	15	2.4
312	14	2.36
382	14	2.36
494	14	2.36
521	14	2.36
31	14	2.29
135	14	2.21
275	14	2.21
367	14	2.21
134	15	2.13
191	15	2.07
213	14	2.07
258	15	2.07
385	15	2.07
625	15	2.07
118	14	2
186	15	2
201	15	2
377	15	2
580	15	2
605	12	2
611	12	2
195	15	1.93
183	15	1.87
370	15	1.87
496	15	1.87
575	15	1.8
603	13	1.77
215	15	1.73
270	15	1.73
128	13	1.69
368	13	1.69
295	15	1.67
279	14	1.64
207	13	1.62
271	15	1.6
476	15	1.53
104	15	1.47
35	15	1.2
256	15	1.2
93	15	1.13
187	15	1.13
315	15	1.13
376	15	1.13
162	15	1
