id_original	respostas_preenchidas	media_individual
167	12	5.67
43	12	5.58
18	15	4.93
397	12	4.75
320	13	4.54
26	14	4.5
117	15	4.4
20	14	4.36
36	15	4.33
53	15	4.33
612	15	4
129	15	3.93
52	13	3.77
11	14	3.64
19	13	3.62
16	15	3.6
98	14	3.57
9	15	3.47
37	15	3.47
114	13	3.46
15	14	3.43
122	14	3.43
5	12	3.42
21	15	3.4
12	15	3.27
25	15	3.27
64	15	3.27
123	15	3.27
127	15	3.27
115	15	3.13
138	14	3
620	13	2.77
324	15	2.73
347	15	2.73
42	13	2.69
38	15	2.67
65	15	2.67
10	15	2.6
263	12	2.58
28	15	2.53
45	14	2.5
230	14	2.29
44	15	2.2
126	15	2.13
17	14	2.07
22	15	2.07
34	15	2
39	15	2
121	15	2
46	15	1.93
62	15	1.8
125	14	1.71
14	15	1.27
88	15	1.27
146	15	1.2
322	15	1.07
